  0.87
 r 0.04
 l 0.09
Lifson nn 1.00
corrugations nn 1.00
jure fw 1.00
memorialized vb 1.00
reporters nn 1.00
textiles nn 1.00
Colossus nn 1.00
liqueur nn 1.00
say-so nn 1.00
grille-route nn 1.00
scorned vb 1.00
commodity nn 1.00
handicap nn 1.00
keel nn 0.83
keel vb 0.17
destruction nn 1.00
storekeepers nn 1.00
Kikuyu nn 1.00
Mental jj 1.00
inane jj 1.00
Master nn 1.00
dominates vb 1.00
pathologic jj 1.00
1918-19 cd 1.00
churchly jj 1.00
dominated vb 1.00
Murphy's np$ 1.00
Instrumental fw-jj-tl 1.00
passive jj 1.00
good-humoredly advb 1.00
polymers nn 1.00
stars nn 1.00
planted vb 1.00
Tuborg nn 1.00
start nn 0.36
start vb 0.64
Alwin nn 1.00
Gear nn 1.00
Canal nn 1.00
sovereign nn 0.39
sovereign jj 0.61
staircase nn 1.00
Kraemer nn 1.00
their's pn 1.00
lackadaisical jj 1.00
stare nn 0.36
stare vb 0.64
planter nn 1.00
stark jj 0.75
stark ql 0.25
curio nn 1.00
nominally advb 1.00
entombed vb 1.00
Keith nn 1.00
Shares nn 1.00
That'll dt 0.40
That'll pn 0.60
effeminate jj 1.00
patina nn 1.00
Bridewell nn 1.00
Budzyn nn 1.00
Teletypes nn 1.00
deceptive jj 1.00
serratus nn 1.00
interlobular jj 1.00
knowingly advb 1.00
waned vb 1.00
Rouben nn 1.00
piecewise advb 1.00
linearly advb 1.00
schoolbooks nn 1.00
lobster-backed jj 1.00
southeastern jj 1.00
loft nn 1.00
parliamentary jj 1.00
lands nn 0.96
lands vb 0.04
sleeves nn 1.00
philosophizing vb 1.00
athleticism nn 1.00
10-o'clock nn 1.00
Indonesian jj 1.00
untellable jj 1.00
scarcity nn 1.00
goitrogen nn 1.00
squealing vb 1.00
Tristano nn 1.00
donated vb 1.00
clothesbrush nn 1.00
Gannon nn 1.00
Vitus nn 1.00
Rolette nn 1.00
supremacy nn 1.00
descendents nn 1.00
protege nn 1.00
creative jj 1.00
inglorious jj 1.00
Caneli nn 1.00
digger nn 1.00
dissociation nn 1.00
jewel-bright jj 1.00
Ronald nn 1.00
Rumscheidt nn 1.00
Midway nn 1.00
shuffled vb 1.00
navigators nn 1.00
registrants' nn 1.00
Twice advb 1.00
conflict's nn 1.00
vector nn 1.00
promised vb 1.00
barbaric jj 1.00
Help nn 0.38
Help vb 0.62
Helm nn 1.00
Hell nn 0.48
Hell uh 0.52
honkytonks nn 1.00
McCullough nn 1.00
sight nn 0.99
sight vb 0.01
Held vb 1.00
nux nn 1.00
fauteuil nn 1.00
promises nn 0.50
promises vb 0.50
sighs nn 1.00
3.190 cd 1.00
Vehicles nn 1.00
appetizing jj 1.00
dirty jj 1.00
precedent nn 1.00
screamed vb 1.00
DRDW nn 1.00
marbles nn 1.00
leaflets nn 1.00
exhausted vb 1.00
Gerosa nn 1.00
lute nn 1.00
September nn 1.00
offsetting vb 1.00
Crombie's np$ 1.00
severalty nn 1.00
1311 cd 1.00
1310 cd 1.00
angels nn 1.00
Seymour nn 1.00
unwillingness nn 1.00
deceived vb 1.00
Y-region nn 1.00
investigate vb 1.00
exogamous jj 1.00
epigenetic jj 1.00
Bicycle nn 1.00
4-7 8 1.00
seekingly advb 1.00
neocortex nn 1.00
impact nn 1.00
filibusters nn 1.00
hoped-for jj 1.00
Plants nn 1.00
liberalizing vb 1.00
damages nn 0.33
damages vb 0.67
Fuss vb 1.00
especially advb 0.87
especially ql 0.13
Harrington nn 1.00
unselfconsciousness nn 1.00
voume nn 1.00
brand nn 0.94
brand ql 0.06
dynastic jj 1.00
damaged vb 1.00
4-0 cd 1.00
persiflage nn 1.00
spoilage nn 1.00
debuting vb 1.00
Stanford nn 1.00
mulching vb 1.00
fangs nn 1.00
athlete nn 1.00
posed vb 1.00
entry nn 1.00
magnificently advb 0.86
magnificently ql 0.14
Lumiere fw-nn-tl 1.00
Sen. nn 1.00
consenting vb 1.00
Justice's nn 1.00
hypothesize vb 1.00
poses vb 1.00
sack nn 1.00
manning vb 1.00
squashed-looking jj 1.00
Javert nn 1.00
births nn 1.00
salvos nn 1.00
Barney nn 1.00
Dudley nn 1.00
needled vb 1.00
Barnes nn 1.00
shun vb 1.00
Barnet nn 1.00
needles nn 1.00
Nigeria nn 1.00
shut vb 1.00
conjugates nn 1.00
Taos nn 1.00
postcards nn 1.00
Alma nn 1.00
Nevertheless advb 1.00
Watson nn 1.00
Katie's np$ 1.00
reorganize vb 1.00
four-wheel-drive nn 1.00
Heydrich nn 1.00
forecasts nn 1.00
iodoprotein nn 1.00
bunks nn 1.00
Ibrahim nn 1.00
hilar jj 1.00
Goldwater nn 1.00
Tasso nn 1.00
contingencies nn 1.00
loaves nn 1.00
Islam nn 1.00
crevice nn 1.00
buckskin's nn 1.00
Rarer jj 1.00
modernists nn 1.00
Uno nn 1.00
prevention nn 1.00
$300 nn 1.00
arrests nn 1.00
2:67 cd 1.00
garter nn 1.00
bark nn 0.93
bark vb 0.07
Explain vb 1.00
near-by jj 1.00
foreclosing vb 1.00
spoke nn 0.01
spoke vb 0.99
Speedy jj 1.00
Anglia nn 1.00
Adam's np$ 1.00
Gaines' np$ 1.00
deemed vb 1.00
obscurely advb 1.00
Table nn 1.00
snapdragons nn 1.00
bars nn 0.92
bars vb 0.08
Canyon nn 1.00
grams nn 1.00
566 cd 1.00
Portage nn 1.00
Hannah nn 1.00
Hapgood nn 1.00
befell vb 1.00
celiac jj 1.00
Aricaras nn 1.00
Portago nn 1.00
enchantment nn 1.00
balustrade nn 1.00
agnostics nn 1.00
choir nn 1.00
own jj 0.97
own vb 0.03
owl nn 1.00
dealings nn 1.00
Dirion nn 1.00
Mick nn 1.00
Airlines nn 1.00
owe vb 1.00
spurns vb 1.00
We'd ppss+hvd 0.40
We'd pn 0.60
$22 nn 1.00
cooperated vb 1.00
Pike's np$ 1.00
deplore vb 1.00
affinity nn 1.00
infra in 1.00
Serve vb 1.00
beer-runners nn 1.00
hooliganism nn 1.00
12:00 cd 1.00
cooperates vb 1.00
Gesangverein fw-nn-tl 1.00
sicker jj 1.00
mouths nn 1.00
Pony nn 1.00
Mystery nn 1.00
pressure-cooker nn 1.00
discusses vb 1.00
catches nn 0.50
catches vb 0.50
catcher nn 1.00
Pons nn 1.00
Pont nn 1.00
Ginsberg's np$ 1.00
throughput nn 1.00
outfielder nn 1.00
fiercely advb 1.00
palazzos nn 1.00
KARL nn 1.00
commending vb 1.00
Pond nn 1.00
catchee vb 1.00
He'll pn 1.00
embryo nn 1.00
Samuel nn 1.00
aloes nn 1.00
assertion nn 1.00
geographically advb 1.00
Common jj 0.67
Common nn 0.33
Awakening nn 1.00
Figure nn 0.98
Figure vb 0.02
knelt vb 1.00
dwellers nn 1.00
poignantly advb 1.00
Judges nn 1.00
far-sighted jj 1.00
irresolvable jj 1.00
highboy nn 1.00
Stanhope nn 1.00
swarming vb 1.00
Sterling nn 1.00
Moos nn 1.00
remuneration nn 1.00
Buckhorn's np+ 1.00
poplar nn 1.00
supplied vb 1.00
deltoids nn 1.00
loosening vb 1.00
white jj 0.97
white nn 0.03
8,293 cd 1.00
Alacrity nn 1.00
Germano-Slavic jj 1.00
christianizing vb 1.00
longshoremen's nn 1.00
Viscount nn 1.00
respectability nn 1.00
soothed vb 1.00
leitmotiv nn 1.00
Floridians nn 1.00
thickest jj 1.00
half-swamped jj 1.00
Cerebral jj 1.00
eats vb 1.00
ambushed vb 1.00
Cotten nn 1.00
emerging vb 1.00
inaugural nn 0.60
inaugural jj 0.40
leitmotif nn 1.00
Molesworth nn 1.00
look-see nn 1.00
Epitaph nn 1.00
discussed vb 1.00
undergoing vb 1.00
O'Brien nn 1.00
predisposition nn 1.00
mops nn 1.00
out-of-mind nn 1.00
mimetic jj 1.00
ASME nn 1.00
Anglo-Saxons nn 1.00
bravest-feathered jj 1.00
Sylvie nn 1.00
such jj 0.76
such ql 0.24
Snow's np$ 1.00
absurdly advb 1.00
Forebearing vb 1.00
Crisis nil 0.20
Crisis nn 0.80
rat-a-tat-tatty jj 1.00
Green jj 0.50
Green nn 0.50
Athabascan nn 1.00
non-intellectual jj 1.00
higher jj 0.91
higher advb 0.09
creating vb 1.00
one-quarter nn 1.00
Hearts nn 1.00
Vinson nn 1.00
Stammering vb 1.00
authoritarian jj 1.00
gypsum nn 1.00
protocol nn 1.00
valor nn 1.00
Greer nn 1.00
radiography nn 1.00
Diversification nn 1.00
enciphered vb 1.00
Satterfield nn 1.00
refuse-littered jj 1.00
traineeships nn 1.00
absolution nn 1.00
blustery jj 1.00
reporting nn 0.29
reporting vb 0.71
noradrenalin nn 1.00
engendered vb 1.00
Tyburn nn 1.00
Notebooks nn 1.00
traversed vb 1.00
334 cd 1.00
332 cd 1.00
Chippendale nn 1.00
330 cd 1.00
nondriver nn 1.00
half-hour nn 1.00
lawyer nn 1.00
Gianicolo nn 1.00
landed vb 1.00
analogue nn 1.00
Navy nn 1.00
Loesser's np$ 1.00
D.J. nn 1.00
vertex nn 1.00
Within in 1.00
disappear vb 1.00
co-existence nn 1.00
chanter nn 1.00
refused vb 1.00
groaned vb 1.00
homecoming nn 1.00
chantey nn 1.00
chanted vb 1.00
gloomy jj 1.00
Abigail nn 1.00
Louchheim nn 1.00
Advancement nn 1.00
deduction nn 1.00
starkly advb 1.00
shelf nn 1.00
Conrad nn 1.00
workbench nn 1.00
lantern nn 1.00
enraptured vb 1.00
newly-scrubbed jj 1.00
Elegant jj 1.00
lonesome jj 1.00
gambling nn 0.06
gambling vb 0.94
categories nn 1.00
ha uh 1.00
Capital nn 1.00
Kaplan nn 1.00
householders nn 1.00
cut-glass nn 1.00
sufficient jj 1.00
vellum nn 1.00
imbibe vb 1.00
cardiovascular jj 1.00
laughingly advb 1.00
twenty-page jj 1.00
pantomimed vb 1.00
aniline nn 1.00
copra nn 1.00
Waited vb 1.00
certificate nn 1.00
communicate vb 1.00
pinch nn 0.67
pinch vb 0.33
requisitioned vb 1.00
500-mile jj 1.00
pales nn 1.00
transporting vb 1.00
neutral jj 1.00
patties nn 1.00
pranks nn 1.00
iron-poor jj 1.00
bunch nn 1.00
Nodding vb 1.00
paled vb 1.00
Speakership nn 1.00
curses nn 1.00
skills nn 1.00
18'.5 nn 1.00
bellowing vb 1.00
blessed vb 1.00
delineaments nn 1.00
appoints vb 1.00
Hobart nn 1.00
Ahah uh 1.00
keening nn 0.50
keening vb 0.50
questionable jj 1.00
Ruidoso nn 1.00
fast-firing jj 1.00
75-minute jj 1.00
Someday advb 1.00
religiosity nn 1.00
rituals nn 1.00
Harburg's np$ 1.00
processor nn 1.00
other's ap$ 1.00
H. nn 1.00
Oneupmanship nn 1.00
$3,500,000 nn 1.00
Journal-American nn 1.00
Grinned vb 1.00
adopts vb 1.00
1630 cd 1.00
1631 cd 1.00
1632 cd 1.00
1633 cd 1.00
immersion nn 1.00
1638 cd 1.00
1639 cd 1.00
Lowell's np$ 1.00
Relatives nn 1.00
phony jj 0.92
phony nn 0.08
partnership nn 1.00
Allen nn 1.00
aerator nn 1.00
Oxytetracycline nn 1.00
engineering-management nn 1.00
leave-taking nn 1.00
phone nn 0.90
phone vb 0.10
Alley nn 1.00
blossoms nn 1.00
tidelands nn 1.00
Forty-nine cd 1.00
Britisher nn 1.00
secondary jj 1.00
outgoing jj 1.00
He pn 1.00
graveyards nn 1.00
Screwed vb 1.00
Hi uh 1.00
gentility nn 1.00
Balinese nn 1.00
Lenygon's np$ 1.00
Mayor-nominate nn 1.00
opaque jj 1.00
single-lane nn 1.00
reduces vb 1.00
reducer nn 1.00
glass-fiber nn 1.00
Mounted vb 1.00
engravings nn 1.00
Lenygon nn 1.00
outcast nn 1.00
scribing vb 1.00
sprightly jj 1.00
snort nn 0.33
snort vb 0.67
tablecloths nn 1.00
haggardly advb 1.00
pyrophosphate nn 1.00
corpulence nn 1.00
steered vb 1.00
Jaycee nn 1.00
resistor nn 1.00
accommodate vb 1.00
gauze nn 1.00
chronically ql 1.00
skinfolds nn 1.00
airports nn 1.00
Seaton nn 1.00
appliance nn 1.00
remark nn 0.94
remark vb 0.06
item nn 1.00
inconspicuously advb 1.00
War nn 1.00
confirmed vb 1.00
consorted vb 1.00
eagerly advb 1.00
ultimate jj 1.00
thesis nn 1.00
Mussorgsky nn 1.00
fugitive jj 0.33
fugitive nn 0.67
crippled vb 1.00
Moses nn 1.00
dispatch nn 0.75
dispatch vb 0.25
littered vb 1.00
kob nn 1.00
Sessions nn 1.00
Adrar nn 1.00
libellos fw- 1.00
Beneficiary nn 1.00
Demonstrations nn 1.00
elegances nn 1.00
continent nn 1.00
$7.00 nn 1.00
unmated jj 1.00
Multiple jj 1.00
rustlers nn 1.00
lex fw 1.00
Use nn 0.36
Use vb 0.64
let nn 0.02
let vb 0.98
Memoir nn 1.00
Briar nn 1.00
warlike jj 1.00
Brian nn 1.00
Graceful jj 1.00
Multiply vb 1.00
South-East jj 1.00
led vb 1.00
memorabilia nn 1.00
percent nn 1.00
Tregnums nn 1.00
thyroglobulin nn 1.00
eared jj 1.00
reputable jj 1.00
camouflage nn 0.67
camouflage vb 0.33
wholeheartedly advb 1.00
succeeds vb 1.00
Coastal jj 1.00
plantain nn 1.00
hustle vb 1.00
underdeveloped jj 1.00
bucolic jj 1.00
commoners nn 1.00
rightness nn 1.00
Caruso nn 1.00
colony nn 1.00
Friedman nn 1.00
malaria nn 1.00
characterized vb 1.00
Adult nn 1.00
incipient jj 1.00
irregularities nn 1.00
subsoil nn 1.00
Varying vb 1.00
Fights nn 1.00
Wonderland nn 1.00
Periclean jj 1.00
Carpenter's np$ 1.00
254 cd 1.00
Finland nn 1.00
256 cd 1.00
realizing vb 1.00
Palmer nn 1.00
flagrant jj 1.00
Bathing vb 1.00
Rosalie nn 1.00
holidays nn 1.00
258 cd 1.00
actively advb 0.91
actively ql 0.09
Chiefs nn 1.00
25% nn 1.00
try nn 0.02
try vb 0.98
A-1 jj 1.00
sardines nn 1.00
$16.80 nn 1.00
Filigreed jj 1.00
northwest nn 0.70
northwest jj 0.30
Haw uh 1.00
Hat nn 1.00
Has vb 1.00
Hap nn 1.00
naked jj 1.00
Hay nn 1.00
Had vb 1.00
Legislative jj 1.00
Opponents nn 1.00
Counseling nn 1.00
greedily advb 1.00
Hal nn 1.00
Ham nn 1.00
soybean nn 1.00
Post nn 1.00
Culvers nn 1.00
solicitor nn 1.00
hurl vb 1.00
Rolls-Royces nn 1.00
dosage nn 1.00
harmlessly advb 1.00
merveilleux fw 1.00
Telegraphers nn 1.00
arching vb 1.00
patronage nn 1.00
gusts nn 1.00
mid-19th od 1.00
polyisocyanate nn 1.00
gusto nn 1.00
Securities nn 1.00
three-hour jj 1.00
richness nn 1.00
uppermost jj 0.33
uppermost advb 0.67
hurt nn 0.31
hurt jj 0.03
hurt vb 0.67
Kinsey nn 1.00
servants nn 1.00
Kanin nn 1.00
intruded vb 1.00
Adam nn 1.00
reopened vb 1.00
well-designed jj 1.00
H.M. nn 1.00
shill nn 1.00
unplowed jj 1.00
bulged vb 1.00
airplane nn 1.00
practice nn 0.85
practice vb 0.15
muddy jj 1.00
goat nn 1.00
yongst jj 1.00
pulpit nn 1.00
sharp-limbed jj 1.00
limber jj 0.50
limber nn 0.50
fluorinated vb 1.00
strands nn 1.00
fumed vb 1.00
hundred-and-fifty cd 1.00
buoyancy nn 1.00
endorsed vb 1.00
bastard's nn+ 1.00
catharsis nn 1.00
hailstorm nn 1.00
rummaged vb 1.00
fumes nn 1.00
occasion nn 1.00
Bruno nn 1.00
Lake nn 1.00
dreaded vb 1.00
Y.M.C.A. nn 1.00
solder nn 0.50
solder vb 0.50
Shriver nn 1.00
Reasoning nn 1.00
tightly advb 0.87
tightly ql 0.13
Christ nn 0.98
Christ uh 0.02
Rangoni's np$ 1.00
buckskin nn 1.00
Cherokees nn 1.00
polyisobutylene nn 1.00
solids nn 1.00
intrudes vb 1.00
d-c nn 1.00
Begging vb 1.00
Dizzy nn 1.00
Pulaski nn 1.00
dripped vb 1.00
Hale's np$ 1.00
micro-microcurie nn 1.00
ethyl nn 1.00
Benesi nn 1.00
imbroglio nn 1.00
Mussolinis nn 1.00
telegraphers nn 1.00
aimlessly advb 1.00
legatee nn 1.00
manifest jj 0.56
manifest vb 0.44
spectrophotometric jj 1.00
refer vb 1.00
goals nn 1.00
homer nn 1.00
Lond. nn 1.00
hydrolyzed vb 1.00
bridgework nn 1.00
coccidioidomycosis nn 1.00
chopper nn 1.00
spasm nn 1.00
Sixty-eighth od 1.00
starve vb 1.00
Corder nn 1.00
chopped vb 1.00
Award nn 1.00
offenses nn 1.00
Used vb 1.00
seein' vb 1.00
6th od 1.00
Fiedler's np$ 1.00
problematical jj 1.00
vendors nn 1.00
genie nn 1.00
witty jj 1.00
recreates vb 1.00
Hilton nn 1.00
Quyney nn 1.00
myself pn 1.00
genii nn 1.00
graybeards nn 1.00
enjoying vb 1.00
Yoneda nn 1.00
polyether-type jj 1.00
pundits nn 1.00
Abstract jj 1.00
bills nn 1.00
propagandist nn 1.00
saga nn 1.00
masquers' nn 1.00
rationalistic jj 1.00
dressy jj 1.00
orthodontic jj 1.00
flouting nn 1.00
Varviso nn 1.00
separators nn 1.00
Missouri nn 1.00
metaphysicals nn 1.00
delirium nn 1.00
undercut nn 0.50
undercut jj 0.50
rationing nn 0.67
rationing vb 0.33
seeing cs 0.01
seeing vb 0.99
Agriculture nn 1.00
Reflections nn 1.00
diapiace fw- 1.00
tortuous jj 1.00
Stern-faced jj 1.00
non-resistants nn 1.00
Tape nn 1.00
reflective jj 1.00
Vacancy nn 1.00
wrinkle nn 1.00
offensives nn 1.00
Sorry jj 1.00
Anzilotti nn 1.00
Metabolite nn 1.00
Condliffe nn 1.00
well-meaning jj 1.00
epics nn 1.00
visited vb 1.00
reputations nn 1.00
distinction nn 1.00
Executive's nn 1.00
villagers nn 1.00
Sure jj 0.12
Sure advb 0.88
Oersted's np$ 1.00
Ira nn 1.00
Halleck nn 1.00
Irv nn 1.00
Rutstein nn 1.00
game's nn 1.00
10,500 cd 1.00
meetings nn 1.00
castorbean nn 1.00
chartist nn 1.00
parochial jj 1.00
Ref. nn 1.00
affections nn 1.00
Blasphemous jj 1.00
marketable jj 1.00
perfectly advb 0.32
perfectly ql 0.68
honored vb 1.00
Friar nn 1.00
Pinsk nn 1.00
slanderous jj 1.00
snowed vb 1.00
containing vb 1.00
Polyanka nn 1.00
sub-chiefdom nn 1.00
Rumanians nn 1.00
swiftness nn 1.00
operators nn 1.00
volens fw- 1.00
Playhouses nn 1.00
trainman nn 1.00
tall-masted jj 1.00
anions nn 1.00
Mickie nn 1.00
briefer jj 1.00
lagoons nn 1.00
Happened vb 1.00
belting nn 1.00
money-winner nn 1.00
assay nn 1.00
airless jj 1.00
mugs nn 1.00
all-too-brief jj 1.00
Rod's np$ 1.00
penciled vb 1.00
KC-135 nn 1.00
Hanover-Lucy nn 1.00
Grizzlies' nn 1.00
Arimathea nn 1.00
peanuts nn 1.00
heaps nn 1.00
haven nn 1.00
Robbins nn 1.00
Tarzan nn 1.00
Kimbell-Diamond nn 1.00
holiday nn 1.00
coste vb 1.00
handiest jj 1.00
rice nn 1.00
Advantages nn 1.00
sputter vb 1.00
Fortman nn 1.00
costs nn 0.93
costs vb 0.07
threesome nn 1.00
big-game nn 1.00
rich jj 0.99
rich nn 0.01
riders nn 1.00
industries nn 1.00
food nn 1.00
malfunctioning nn 1.00
Stocks nn 1.00
hydrogens nn 1.00
leadsman nn 1.00
Purely advb 1.00
Kidder nn 1.00
primarily advb 1.00
sunburn nn 1.00
Figs. nn 1.00
eugenic jj 1.00
revved vb 1.00
monumentally advb 1.00
megalopolises nn 1.00
Catholicism nn 1.00
DPW nn 1.00
exploded vb 1.00
interpretable jj 1.00
swipe nn 1.00
20th-Century nn 1.00
underhanded jj 1.00
desolate jj 1.00
Caldwell nn 1.00
explodes vb 1.00
condemns vb 1.00
clogged vb 1.00
Breckenridge's np$ 1.00
bay nn 1.00
Letting vb 1.00
clique nn 1.00
Lili nn 1.00
pantry nn 1.00
induces vb 1.00
mid-1960's nn 1.00
bat nn 0.72
bat vb 0.28
1930s nn 1.00
Lily nn 1.00
conquest nn 1.00
apologetically advb 1.00
Acala nn 1.00
bad jj 0.94
bad advb 0.03
bad nn 0.03
induced vb 1.00
bag nn 0.98
bag vb 0.02
mistaking nn 0.50
mistaking vb 0.50
retied vb 1.00
measured vb 1.00
inadequacies nn 1.00
D' nn 1.00
medallions nn 1.00
nary dt 1.00
sausage-meat nn 1.00
flocculated vb 1.00
sightseeing vb 1.00
modular jj 1.00
Setting vb 1.00
somethin pn 1.00
over-emphasize vb 1.00
rustling nn 0.10
rustling vb 0.90
nightly advb 1.00
Dyer nn 1.00
smallness nn 1.00
humbly advb 0.75
humbly ql 0.25
Brookmeyer's np$ 1.00
Statistically advb 1.00
Holland nn 1.00
urged vb 1.00
ogled vb 1.00
fizzled vb 1.00
honky-tonk nn 1.00
thermostatics nn 1.00
Balanced vb 1.00
embankment nn 1.00
eaters nn 1.00
gargle nn 1.00
offense nn 1.00
punctuality nn 1.00
Superintendents nn 1.00
clobbered vb 1.00
dweller nn 1.00
repetition nn 1.00
far-flung jj 1.00
alternation nn 1.00
breeds nn 1.00
denounce vb 1.00
summitry nn 1.00
A.K.C. nn 1.00
weaves nn 1.00
idiotic jj 1.00
interrelationships nn 1.00
unfortunate jj 0.82
unfortunate nn 0.18
veracity nn 1.00
berated vb 1.00
sensitized vb 1.00
Ditmar nn 1.00
Channel nn 1.00
J.D.H. nn 1.00
snapped vb 1.00
airframe nn 1.00
optimo fw- 1.00
sunbaked jj 1.00
6- cd 1.00
molds nn 1.00
Put vb 1.00
excess nn 0.55
excess jj 0.45
enlist vb 1.00
beads nn 1.00
universally advb 0.83
universally ql 0.17
verbal jj 1.00
fumble nn 1.00
harshly advb 1.00
Pax fw-nn-tl 1.00
Advanced jj 1.00
tigress nn 1.00
signified vb 1.00
counteracting vb 1.00
bull-sessions nn 1.00
Advances nn 1.00
dwarfs nn 0.50
dwarfs vb 0.50
D8 nn 1.00
boasts vb 1.00
mushrooms nn 1.00
signifies vb 1.00
fawn nn 1.00
revert vb 1.00
sunspot nn 1.00
Verdi nn 1.00
Ceecee nn 1.00
Wondering vb 1.00
Returning vb 1.00
esters nn 1.00
Missiles nn 1.00
Mennen nn 1.00
handfuls nn 1.00
amplify vb 1.00
Fooled vb 1.00
luminescent jj 1.00
equine nn 1.00
nightingale nn 1.00
1215 cd 1.00
prowl nn 0.50
prowl vb 0.50
45-degree jj 1.00
tollgate nn 1.00
Whiteley nn 1.00
Tilghman nn 1.00
Manpower nn 1.00
Communism's nn 1.00
prophetic jj 1.00
rained vb 1.00
Niccolo nn 1.00
guerrilla-th'-wisp jj 1.00
Proximate jj 1.00
flounder vb 1.00
bronc nn 1.00
Franz nn 1.00
incubi nn 1.00
Pah nn 1.00
Frans nn 1.00
mutiny nn 1.00
non-Soviet jj 1.00
conceding vb 1.00
gratingly advb 1.00
despot nn 1.00
paraxial jj 1.00
compatible jj 1.00
flush jj 0.45
flush advb 0.09
flush nn 0.36
flush vb 0.09
recount vb 1.00
fateful jj 1.00
skipping vb 1.00
networks nn 1.00
virile jj 1.00
sensed vb 1.00
Norberg nn 1.00
omniscient jj 1.00
Seated vb 1.00
Pappas nn 1.00
specifying vb 1.00
Karl nn 1.00
Fraud nn 1.00
intuitively advb 1.00
seventies nn 1.00
Kare nn 1.00
alkylbenzenesulfonates nn 1.00
Bul'ba nn 1.00
Morehouse nn 1.00
nationalist nn 0.67
nationalist jj 0.33
splattered vb 1.00
miso fw 1.00
matches nn 0.69
matches vb 0.31
inflection nn 1.00
Gary nn 1.00
Raw jj 1.00
Curtiss nn 1.00
armor nn 1.00
nationalism nn 1.00
Andy nn 1.00
matched vb 1.00
velvety jj 1.00
rapt jj 1.00
Puccini's np$ 1.00
crummy jj 1.00
planetary jj 1.00
technique nn 1.00
rape nn 0.40
rape vb 0.60
sonic jj 1.00
wide-cut jj 1.00
1960-61 cd 1.00
Co-optation nn 1.00
nation-state nn 1.00
nufs nn 1.00
settling vb 1.00
concurrent jj 1.00
Tippecanoe nn 1.00
Thaxters nn 1.00
colony's nn 1.00
gerundial jj 1.00
darlin' jj 1.00
textile-importing jj 1.00
commune nn 0.67
commune vb 0.33
Karol nn 1.00
Frost's np$ 1.00
Patagonians nn 1.00
science-fiction nn 1.00
6-foot jj 1.00
imponderable jj 1.00
securing nn 0.14
securing vb 0.86
Poirot nn 1.00
Saint nn 1.00
vesicular jj 1.00
Kel nn 1.00
Keo nn 1.00
Ken nn 1.00
aspirants nn 1.00
Faust nn 1.00
repaid vb 1.00
temperatures nn 1.00
threefold nil 0.25
threefold jj 0.75
sherbet-colored jj 1.00
Key nn 1.00
keen jj 1.00
Creek nn 1.00
Creed nn 1.00
4-d cd 1.00
repair nn 0.75
repair vb 0.25
Beckman nn 1.00
hand-painted jj 1.00
clarets nn 1.00
Stone's np$ 1.00
quadrennial jj 1.00
terrace nn 1.00
darling nn 0.60
darling jj 0.40
Comment nn 1.00
oneself pn 1.00
Seize vb 1.00
midsts nn 1.00
trustees nn 1.00
guessed vb 1.00
disown vb 1.00
clodhoppers nn 1.00
whimper vb 1.00
tariff nn 1.00
gritty-eyed jj 1.00
kava nn 1.00
nott * 1.00
hallelujahs nn 1.00
4-1 cd 0.50
4-1 2% 0.50
relayed vb 1.00
dark-green jj 1.00
guesses nn 1.00
plummeting vb 1.00
note nn 0.69
note vb 0.31
Hall's np$ 1.00
entreated vb 1.00
donning vb 1.00
vest nn 0.75
vest vb 0.25
hooted vb 1.00
refinement nn 1.00
have vb 1.00
burrowing vb 1.00
Measurement nn 1.00
systematic jj 1.00
breaking nn 0.16
breaking vb 0.84
apprentice nn 1.00
Italians nn 1.00
pays vb 1.00
interviewees nn 1.00
lovers nn 1.00
hand-hewn jj 1.00
Proof nn 1.00
Bostonian nn 1.00
Tenda nn 1.00
goldfish nn 1.00
orthodontist's nn 1.00
Hiroshima nn 1.00
landes nn 1.00
reverberation nn 1.00
on-level jj 1.00
Johnnie nn 1.00
centum nn 1.00
satisfactions nn 1.00
open-ended jj 1.00
$133 nn 1.00
ballistics nn 1.00
$10.1 nn 1.00
stationmaster nn 1.00
driveways nn 1.00
Yancey-6 nn 1.00
congregation nn 1.00
lengthily advb 1.00
16,000 cd 1.00
Administrator nn 1.00
disaffiliate vb 1.00
Virgin nn 0.92
Virgin jj 0.08
Virgil nn 1.00
refuses vb 1.00
juggling vb 1.00
Perfect jj 1.00
stuck vb 1.00
Arnold nn 1.00
394 cd 1.00
subtypes nn 1.00
Coletta nn 1.00
DA nn 1.00
lady-bugs nn 1.00
tarnished vb 1.00
Dictionaries nn 1.00
Needham's np$ 1.00
bronchiolitis nn 1.00
tumbrels nn 1.00
sub-station nn 1.00
' ' 1.00
terra fw 1.00
categorically advb 1.00
200-megaton jj 1.00
ironies nn 1.00
accompanist nn 1.00
fingerprint nn 1.00
calmly advb 1.00
over-stitched vb 1.00
scarcely advb 0.88
scarcely ql 0.12
Mother's nn 1.00
terry nn 1.00
compleated vb 1.00
Viewing vb 1.00
void nn 0.80
void jj 0.20
clannishness nn 1.00
Belletch nn 1.00
induce vb 1.00
tax-paying jj 1.00
recapitulation nn 1.00
upholders nn 1.00
consistently advb 1.00
brokers nn 1.00
hurling vb 1.00
diffidence nn 1.00
Desolation nn 1.00
Funny jj 1.00
clock nn 1.00
Ironically advb 1.00
adjourned vb 1.00
Eisenhower nn 1.00
79-cents nn 1.00
cattaloe nn 1.00
lesion nn 1.00
Doran nn 1.00
Susie nn 1.00
roleplayed vb 1.00
